time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-29T10:10:41.485Z,42.0547,142.5972,56.69,4.9,mb,,86,0.419,0.79,us,us6000efsy,2021-05-29T10:27:23.040Z,"36 km SSE of Shizunai-furukawachō, Japan",earthquake,6.4,6.4,0.029,380,reviewed,us,us
2021-05-29T09:04:16.898Z,-17.4015,-69.9068,10,4.7,mb,,116,1.049,0.99,us,us6000efsh,2021-05-29T09:31:00.040Z,"15 km ENE of Tarata, Peru",earthquake,5.4,1.9,0.06,84,reviewed,us,us
2021-05-29T08:19:07.620Z,17.9653,-66.98,10,2.93,md,18,200,0.1359,0.12,pr,pr2021149002,2021-05-29T08:56:00.432Z,"7 km E of La Parguera, Puerto Rico",earthquake,0.57,0.41,0.25,10,reviewed,pr,pr
2021-05-29T06:20:21.133Z,20.4199,120.5517,8.28,4.8,mb,,112,2.436,0.6,us,us6000efrk,2021-05-29T06:35:15.040Z,"148 km W of Basco, Philippines",earthquake,3.9,5.3,0.094,36,reviewed,us,us
2021-05-29T05:46:23.260Z,24.8923,122.5642,6.7,4.6,mb,,68,0.587,0.5,us,us6000efrg,2021-05-29T06:02:10.040Z,"64 km NW of Yonakuni, Japan",earthquake,3.2,5.5,0.103,28,reviewed,us,us
2021-05-29T03:43:07.800Z,19.3663,-67.772,73,3.65,md,22,206,1.0245,0.35,pr,pr2021149001,2021-05-29T04:52:42.040Z,"109 km NE of Punta Cana, Dominican Republic",earthquake,2.18,5.03,0.13,10,reviewed,pr,pr
2021-05-29T02:16:01.790Z,36.54189301,-98.98588562,1.780089378,2.63,ml,54,55.57583046,0.05957945809,0.8275337998,ok,ok2021kkoy,2021-05-29T02:52:21.040Z,"10 km WSW of Waynoka, Oklahoma",earthquake,2.146922495,1.237402827,,39,automatic,ok,ok
2021-05-29T02:12:53.845Z,29.6936,50.57,10,4.5,mb,,71,6.785,0.88,us,us6000efqh,2021-05-29T02:25:28.040Z,"southern Iran",earthquake,5.7,1.9,0.065,70,reviewed,us,us
2021-05-29T01:41:54.747Z,38.1367,74.1006,198.25,4.4,mb,,87,2.974,0.55,us,us6000efqb,2021-05-29T01:54:18.040Z,"12 km ESE of Murghob, Tajikistan",earthquake,7.2,12,0.218,6,reviewed,us,us
2021-05-29T01:25:15.395Z,1.0437,120.1487,25.88,5.1,mww,,54,0.636,0.85,us,us6000efq7,2021-05-29T01:42:13.040Z,"218 km N of Palu, Indonesia",earthquake,5.3,2.1,0.089,12,reviewed,us,us
