time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-30T23:33:52.140Z,36.0029984,-120.8896637,10.37,2.56,md,49,90,0.02182,0.12,nc,nc73544305,2021-03-30T23:51:08.378Z,"2km SE of San Ardo, CA",earthquake,0.26,0.58,0.2,53,automatic,nc,nc
2021-03-30T23:27:08.470Z,19.4776666666667,-155.653,4.26,2.5,ml,29,103,,0.11,hv,hv72405662,2021-03-30T23:54:53.090Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.31,0.45,0.141748079716693,22,reviewed,hv,hv
2021-03-30T23:11:51.430Z,19.4753333333333,-155.648833333333,4.12,2.58,ml,37,75,,0.11,hv,hv72405647,2021-03-30T23:43:49.880Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.56,0.177720281972289,23,reviewed,hv,hv
2021-03-30T23:06:52.154Z,38.1718,-118.0778,4.1,2.7,ml,28,79.57,0.024,0.1477,nn,nn00803794,2021-03-30T23:36:44.103Z,"24 km S of Mina, Nevada",earthquake,,1,0.33,14,reviewed,nn,nn
2021-03-30T22:36:10.790Z,17.9905,-66.82,11,2.57,md,22,171,0.2201,0.18,pr,pr2021089004,2021-03-30T23:43:36.984Z,"Puerto Rico region",earthquake,0.35,0.39,0.24,11,reviewed,pr,pr
2021-03-30T22:11:09.790Z,19.4761666666667,-155.6475,4.37,2.74,ml,38,101,,0.1,hv,hv72405542,2021-03-30T23:22:41.888Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.29,0.5,0.168285984879564,25,reviewed,hv,hv
2021-03-30T21:35:48.625Z,-35.3984,-106.0347,10,5.8,mww,,100,8.711,0.67,us,us6000dxr3,2021-03-31T00:00:41.040Z,"southern East Pacific Rise",earthquake,12.1,1.9,0.098,10,reviewed,us,us
2021-03-30T21:34:54.109Z,-28.1996,-68.1107,94.13,4.4,mb,,49,1.632,0.92,us,us6000dxr1,2021-03-30T22:28:39.234Z,"55 km WSW of Tinogasta, Argentina",earthquake,5.3,8,0.134,16,reviewed,us,us
2021-03-30T20:44:23.110Z,-6.426,130.0309,121.21,4.5,mb,,96,1.993,0.84,us,us6000dxqm,2021-03-30T21:26:09.040Z,"Banda Sea",earthquake,7.7,0.8,0.093,38,reviewed,us,us
2021-03-30T18:35:52.231Z,38.1726,-118.0777,4.2,2.8,ml,28,76.81,0.024,0.1578,nn,nn00803738,2021-03-30T21:03:51.040Z,"24 km S of Mina, Nevada",earthquake,,1,0.3,13,reviewed,nn,nn
